epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4747,1.42615,2.51586,1.44441,0.80889,0.34105,0.40939,0.25857,1.40487,3.74163,1.58299,0.00019089,0.00019089,0.00019089
2,28.7102,1.05275,1.17582,1.20243,0.54355,0.5222,0.5232,0.33079,1.55388,2.99279,1.82126,0.000387,0.000387,0.000387
3,41.7615,1.07309,0.98473,1.20265,0.50714,0.60887,0.64754,0.38285,1.53452,2.29696,1.83623,0.000579151,0.000579151,0.000579151
4,54.8012,1.06458,0.92973,1.20291,0.59808,0.51109,0.54991,0.34792,1.42017,2.34705,1.83521,0.000767342,0.000767342,0.000767342
5,68.0763,1.07852,0.94423,1.21069,0.75443,0.30125,0.40134,0.23882,1.69084,3.42151,2.01483,0.000873004,0.000873004,0.000873004
6,81.4848,1.06593,0.88945,1.19151,0.78827,0.40745,0.60093,0.35445,1.57623,2.40742,1.98864,0.000864004,0.000864004,0.000864004
7,94.0966,1.07472,0.86472,1.18358,0.4513,0.61919,0.6231,0.37735,1.62236,2.4984,1.86526,0.000855005,0.000855005,0.000855005
8,106.856,1.03346,0.83906,1.17177,0.4613,0.68693,0.65627,0.41203,1.41902,1.67543,1.70143,0.000846006,0.000846006,0.000846006
9,119.59,1.00409,0.80186,1.15865,0.60567,0.65835,0.73349,0.45584,1.40121,1.67904,1.59202,0.000837007,0.000837007,0.000837007
10,132.749,1.03622,0.79506,1.1569,0.80309,0.43805,0.53507,0.33605,1.49182,1.83136,1.67778,0.000828008,0.000828008,0.000828008
11,145.219,0.95693,0.73581,1.13512,0.6311,0.72603,0.71198,0.44441,1.48994,1.44996,1.64613,0.000819009,0.000819009,0.000819009
12,157.626,0.95224,0.74511,1.10731,0.74925,0.67695,0.77774,0.48872,1.45034,1.58361,1.70637,0.00081001,0.00081001,0.00081001
13,170.124,0.95118,0.7412,1.10232,0.74079,0.50867,0.62655,0.39224,1.3562,1.44723,1.68182,0.000801011,0.000801011,0.000801011
14,182.718,0.97991,0.72985,1.11621,0.51829,0.68617,0.67354,0.44228,1.32263,1.67649,1.52575,0.000792012,0.000792012,0.000792012
15,195.201,0.952,0.71623,1.08895,0.8206,0.69441,0.80177,0.51424,1.3169,1.29271,1.59019,0.000783013,0.000783013,0.000783013
16,207.99,0.90992,0.69376,1.09957,0.74263,0.72138,0.80669,0.49554,1.47516,1.54457,1.7135,0.000774013,0.000774013,0.000774013
17,220.566,0.89921,0.66841,1.07195,0.59262,0.74075,0.77991,0.50969,1.32002,1.6774,1.54669,0.000765014,0.000765014,0.000765014
18,233.409,0.88833,0.65956,1.07053,0.86078,0.67197,0.774,0.47789,1.29013,1.28691,1.55688,0.000756015,0.000756015,0.000756015
19,246.306,0.89788,0.6502,1.05418,0.70917,0.79819,0.78561,0.49744,1.3316,1.30863,1.53688,0.000747016,0.000747016,0.000747016
20,259.087,0.88385,0.63175,1.06529,0.86038,0.75626,0.81833,0.52177,1.24692,1.26274,1.46943,0.000738017,0.000738017,0.000738017
21,271.866,0.85875,0.60828,1.04203,0.78155,0.8137,0.83317,0.56779,1.22368,1.20201,1.5027,0.000729018,0.000729018,0.000729018
22,284.281,0.85463,0.6196,1.05421,0.83942,0.72685,0.82278,0.51947,1.30738,1.33456,1.55998,0.000720019,0.000720019,0.000720019
23,297.13,0.84371,0.63284,1.04832,0.75238,0.80221,0.81063,0.50713,1.32282,1.12973,1.59016,0.00071102,0.00071102,0.00071102
24,311.195,0.89219,0.62901,1.05609,0.81683,0.70613,0.68575,0.45642,1.24411,1.29594,1.47177,0.000702021,0.000702021,0.000702021
25,323.652,0.86994,0.6258,1.04747,0.88131,0.7543,0.81824,0.52843,1.23617,1.17184,1.48188,0.000693022,0.000693022,0.000693022
26,336.1,0.83874,0.59247,1.03609,0.86947,0.72299,0.83704,0.5718,1.26241,1.06098,1.47863,0.000684022,0.000684022,0.000684022
27,348.752,0.83246,0.59466,1.04926,0.82548,0.50031,0.77303,0.52133,1.32409,1.28917,1.5663,0.000675023,0.000675023,0.000675023
28,361.342,0.82728,0.5796,1.03956,0.82857,0.76691,0.84336,0.56606,1.33895,1.10977,1.47495,0.000666024,0.000666024,0.000666024
29,374.342,0.85376,0.59435,1.03046,0.93988,0.7311,0.80161,0.55309,1.2767,1.07437,1.48036,0.000657025,0.000657025,0.000657025
30,387.007,0.8235,0.57015,1.03153,0.93808,0.62711,0.8624,0.56943,1.33106,1.15543,1.51466,0.000648026,0.000648026,0.000648026
31,399.989,0.82988,0.56981,1.03442,0.84008,0.73623,0.85726,0.57138,1.21406,1.07911,1.42258,0.000639027,0.000639027,0.000639027
32,412.681,0.87054,0.57257,1.03765,0.83168,0.78029,0.85366,0.56666,1.20833,1.13871,1.44566,0.000630028,0.000630028,0.000630028
33,425.221,0.84595,0.56092,1.01412,0.79232,0.73936,0.79671,0.54557,1.28101,1.24316,1.44627,0.000621029,0.000621029,0.000621029
34,437.978,0.79959,0.54409,1.01376,0.74903,0.76583,0.78178,0.57904,1.28935,1.16416,1.477,0.00061203,0.00061203,0.00061203
35,450.635,0.81676,0.54036,1.01885,0.70479,0.81933,0.81824,0.5425,1.31682,1.10912,1.54996,0.000603031,0.000603031,0.000603031
36,463.164,0.78376,0.5388,1.00846,0.75522,0.84452,0.81574,0.54703,1.23203,1.07278,1.43774,0.000594031,0.000594031,0.000594031
37,475.661,0.81711,0.5465,1.01347,0.7642,0.7526,0.80457,0.53597,1.24094,1.01706,1.47455,0.000585032,0.000585032,0.000585032
38,488.103,0.77601,0.51405,0.98636,0.77132,0.7751,0.8107,0.57559,1.12933,0.98264,1.38635,0.000576033,0.000576033,0.000576033
39,500.648,0.76732,0.50963,0.99244,0.75744,0.8873,0.8438,0.59146,1.19802,1.00922,1.47155,0.000567034,0.000567034,0.000567034
40,513.56,0.7681,0.50888,1.00014,0.86446,0.7279,0.83277,0.57613,1.15983,1.08659,1.3852,0.000558035,0.000558035,0.000558035
41,526.562,0.74292,0.50661,1.00318,0.8971,0.75793,0.8405,0.57013,1.17012,0.96907,1.40132,0.000549036,0.000549036,0.000549036
