epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8413,1.63455,2.63007,1.6485,0.62233,0.53295,0.49129,0.25327,1.62216,2.27749,1.64102,0.000295953,0.000295953,0.000295953
2,32.5426,1.47095,1.40664,1.49768,0.69222,0.56299,0.62073,0.33322,1.74589,2.51724,1.83683,0.000596582,0.000596582,0.000596582
3,46.6903,1.48787,1.34522,1.53046,0.47863,0.70068,0.52858,0.24935,1.7802,3.10829,1.91314,0.00089481,0.00089481,0.00089481
4,61.5833,1.45023,1.35599,1.5558,0.66682,0.55929,0.57827,0.28177,1.90488,2.10346,1.98099,0.000898201,0.000898201,0.000898201
5,76.4647,1.44489,1.28204,1.50646,0.41566,0.55395,0.47812,0.25168,1.92672,2.19197,1.99056,0.000894601,0.000894601,0.000894601
6,90.9232,1.43837,1.2695,1.5341,0.60283,0.50886,0.61544,0.34653,1.69966,2.22082,1.83295,0.000891002,0.000891002,0.000891002
7,105.509,1.43917,1.25817,1.52684,0.75024,0.43119,0.65914,0.36109,1.78256,1.91258,1.9671,0.000887402,0.000887402,0.000887402
8,119.678,1.38054,1.21187,1.49966,0.6982,0.3491,0.47393,0.25846,1.71519,1.90071,1.87115,0.000883803,0.000883803,0.000883803
9,134.033,1.39576,1.2472,1.48914,0.45804,0.59279,0.60749,0.34286,1.62743,2.05356,1.73429,0.000880203,0.000880203,0.000880203
10,148.278,1.37699,1.24979,1.47393,0.49765,0.70339,0.6007,0.32546,1.62438,1.49934,1.70708,0.000876603,0.000876603,0.000876603
11,162.356,1.32445,1.17073,1.43664,0.6146,0.77899,0.75823,0.40708,1.6694,1.53066,1.80105,0.000873004,0.000873004,0.000873004
12,176.7,1.29766,1.12854,1.43295,0.70663,0.6634,0.71353,0.39953,1.59781,1.50534,1.67763,0.000869404,0.000869404,0.000869404
13,191.119,1.28571,1.10948,1.42544,0.68735,0.47043,0.55829,0.33057,1.55425,1.89965,1.77935,0.000865804,0.000865804,0.000865804
14,205.524,1.28526,1.13931,1.45109,0.69836,0.7018,0.72181,0.42861,1.59475,1.43148,1.64116,0.000862205,0.000862205,0.000862205
15,220.98,1.25852,1.08384,1.42252,0.59627,0.67372,0.71327,0.43845,1.46599,1.42839,1.67758,0.000858605,0.000858605,0.000858605
16,235.628,1.21619,1.05799,1.40834,0.75919,0.48068,0.73344,0.44421,1.47319,1.44494,1.60947,0.000855005,0.000855005,0.000855005
17,250.033,1.2512,1.06909,1.39628,0.72262,0.73549,0.75416,0.46028,1.44584,1.42479,1.58278,0.000851406,0.000851406,0.000851406
18,264.327,1.25516,1.07309,1.39497,0.62297,0.76446,0.74474,0.45601,1.48781,1.24506,1.58871,0.000847806,0.000847806,0.000847806
19,278.632,1.21847,1.01535,1.36507,0.70125,0.71602,0.73095,0.43217,1.44561,1.4047,1.61102,0.000844206,0.000844206,0.000844206
20,292.701,1.18146,0.99356,1.34923,0.69993,0.72105,0.73585,0.44057,1.42224,1.23289,1.54524,0.000840607,0.000840607,0.000840607
21,307.299,1.18912,0.97268,1.35979,0.53964,0.77438,0.7804,0.48135,1.52395,1.18011,1.59213,0.000837007,0.000837007,0.000837007
22,321.72,1.21298,1.02281,1.3783,0.69281,0.70107,0.74854,0.45992,1.37455,1.29631,1.48094,0.000833408,0.000833408,0.000833408
23,335.972,1.15413,0.98835,1.34815,0.70022,0.75237,0.76817,0.47295,1.50839,1.35689,1.59426,0.000829808,0.000829808,0.000829808
24,350.746,1.16845,0.98171,1.35487,0.63778,0.6508,0.69935,0.43115,1.42141,1.38556,1.5196,0.000826208,0.000826208,0.000826208
25,366.459,1.18442,0.99892,1.34397,0.85728,0.70469,0.78763,0.48036,1.38509,1.25486,1.54769,0.000822609,0.000822609,0.000822609
26,381.934,1.13898,1.01332,1.34602,0.81263,0.66816,0.80498,0.51058,1.45641,1.25529,1.5691,0.000819009,0.000819009,0.000819009
27,396.598,1.1838,0.97867,1.35288,0.79956,0.71119,0.78266,0.50213,1.36685,1.10756,1.47387,0.000815409,0.000815409,0.000815409
28,411.151,1.15867,0.95572,1.31733,0.90229,0.6815,0.80192,0.4917,1.46024,1.10728,1.53964,0.00081181,0.00081181,0.00081181
29,425.677,1.13442,0.9469,1.31103,0.6017,0.74323,0.7538,0.46936,1.34287,1.07471,1.48745,0.00080821,0.00080821,0.00080821
30,440.12,1.11261,0.92825,1.31544,0.85273,0.67346,0.79861,0.52411,1.41648,1.17779,1.55942,0.00080461,0.00080461,0.00080461
31,454.798,1.11375,0.90446,1.29686,0.80426,0.75997,0.79473,0.4569,1.44833,1.12861,1.55326,0.000801011,0.000801011,0.000801011
32,469.365,1.13064,0.91776,1.32947,0.73579,0.7461,0.83267,0.5362,1.2324,1.00854,1.41243,0.000797411,0.000797411,0.000797411
33,484.031,1.14898,0.93638,1.31655,0.68647,0.76105,0.78022,0.50725,1.32723,1.15017,1.47911,0.000793812,0.000793812,0.000793812
34,498.479,1.08288,0.89041,1.29477,0.80585,0.75365,0.80504,0.50697,1.43149,1.10135,1.58932,0.000790212,0.000790212,0.000790212
35,514.227,1.12759,0.91965,1.32074,0.63239,0.68266,0.63115,0.35842,1.38297,1.32436,1.4733,0.000786612,0.000786612,0.000786612
36,528.836,1.11121,0.90301,1.29337,0.83867,0.64988,0.76942,0.46058,1.35576,1.12434,1.4927,0.000783013,0.000783013,0.000783013
37,543.238,1.13156,0.91084,1.30924,0.61571,0.69354,0.72619,0.48132,1.24095,1.05246,1.42648,0.000779413,0.000779413,0.000779413
38,557.293,1.08975,0.86944,1.27343,0.78178,0.75162,0.80881,0.48848,1.39476,1.06928,1.49834,0.000775813,0.000775813,0.000775813
39,571.726,1.09192,0.87956,1.27543,0.77701,0.67705,0.79409,0.46864,1.48424,1.28462,1.56482,0.000772214,0.000772214,0.000772214
40,586.521,1.11554,0.89128,1.31252,0.82664,0.71923,0.83801,0.561,1.23374,0.99685,1.42709,0.000768614,0.000768614,0.000768614
41,600.914,1.04081,0.84067,1.2744,0.84855,0.73664,0.78068,0.50673,1.22516,1.00434,1.39862,0.000765014,0.000765014,0.000765014
42,615.377,1.05337,0.86483,1.27475,0.81849,0.75433,0.82817,0.52179,1.25534,1.03654,1.45174,0.000761415,0.000761415,0.000761415
43,629.916,1.08053,0.87306,1.2725,0.71452,0.68248,0.76203,0.47506,1.37878,1.16705,1.53003,0.000757815,0.000757815,0.000757815
44,644.362,1.0879,0.90473,1.30674,0.86749,0.63639,0.77355,0.45117,1.34104,1.14256,1.51975,0.000754215,0.000754215,0.000754215
45,660.071,1.07368,0.87906,1.29147,0.75148,0.73129,0.80113,0.49289,1.36754,1.07928,1.47429,0.000750616,0.000750616,0.000750616
46,674.815,1.06254,0.86131,1.28023,0.84902,0.77114,0.82212,0.4972,1.30672,0.9337,1.46796,0.000747016,0.000747016,0.000747016
47,689.256,1.05353,0.85441,1.28832,0.64108,0.74396,0.73741,0.46939,1.26929,0.98584,1.42036,0.000743417,0.000743417,0.000743417
48,703.761,1.06265,0.82763,1.26764,0.7615,0.74085,0.82147,0.5087,1.2218,0.94178,1.38777,0.000739817,0.000739817,0.000739817
49,718.274,1.04891,0.80307,1.25782,0.81996,0.7645,0.80686,0.48964,1.24692,1.0026,1.43224,0.000736217,0.000736217,0.000736217
50,732.722,1.04609,0.81187,1.24248,0.81314,0.79945,0.83153,0.50955,1.2054,0.92978,1.41485,0.000732618,0.000732618,0.000732618
51,747.143,1.04624,0.8215,1.26977,0.81787,0.81345,0.84069,0.50493,1.31333,0.98989,1.46939,0.000729018,0.000729018,0.000729018
52,761.692,1.01465,0.79507,1.23053,0.89142,0.72031,0.82428,0.50504,1.28484,0.95649,1.43455,0.000725418,0.000725418,0.000725418
53,776.217,1.03926,0.82615,1.2598,0.89023,0.73631,0.83436,0.53319,1.21468,0.96067,1.40585,0.000721819,0.000721819,0.000721819
54,790.527,1.00798,0.80035,1.23932,0.76454,0.7216,0.78159,0.49539,1.23523,0.93657,1.36375,0.000718219,0.000718219,0.000718219
55,806.02,1.01304,0.79101,1.2405,0.8759,0.75913,0.86469,0.54676,1.18358,0.88114,1.38554,0.000714619,0.000714619,0.000714619
56,820.753,1.00938,0.79851,1.25066,0.8191,0.78939,0.85417,0.56547,1.19455,0.94361,1.36108,0.00071102,0.00071102,0.00071102
57,835.276,1.01005,0.78316,1.24478,0.74925,0.75197,0.80599,0.53961,1.18389,0.94475,1.41472,0.00070742,0.00070742,0.00070742
58,849.527,1.01012,0.81334,1.24533,0.83546,0.75121,0.83791,0.55499,1.20855,0.92612,1.37706,0.000703821,0.000703821,0.000703821
59,863.956,1.02121,0.79964,1.25145,0.86281,0.70462,0.79812,0.52961,1.21684,0.97583,1.36216,0.000700221,0.000700221,0.000700221
60,878.929,0.98466,0.77549,1.23788,0.73785,0.7977,0.80982,0.52537,1.32582,1.01829,1.42373,0.000696621,0.000696621,0.000696621
61,893.395,1.01237,0.80784,1.24801,0.7212,0.7904,0.81487,0.52293,1.34675,0.99204,1.43846,0.000693022,0.000693022,0.000693022
62,907.852,0.97096,0.75741,1.21871,0.76809,0.79152,0.83,0.51818,1.34137,1.03503,1.50229,0.000689422,0.000689422,0.000689422
63,922.104,1.00516,0.75397,1.21022,0.83662,0.69917,0.76495,0.51871,1.21868,0.97884,1.39805,0.000685822,0.000685822,0.000685822
64,936.501,0.9786,0.75095,1.21813,0.79012,0.73165,0.7317,0.49103,1.21402,0.93659,1.39348,0.000682223,0.000682223,0.000682223
65,951.622,0.98877,0.76307,1.22298,0.78568,0.79295,0.76472,0.52296,1.19518,1.01079,1.3505,0.000678623,0.000678623,0.000678623
66,966.596,0.97961,0.75564,1.23071,0.9004,0.7978,0.8458,0.557,1.24121,0.86993,1.37223,0.000675023,0.000675023,0.000675023
