epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4077,1.33048,3.43518,1.38307,0.02234,0.67118,0.26729,0.16484,1.39529,3.24093,1.5956,0.00019089,0.00019089,0.00019089
2,47.5111,1.17959,2.15061,1.27518,0.02078,0.72751,0.28753,0.17859,1.51877,2.97711,1.56399,0.000387,0.000387,0.000387
3,58.1287,1.12364,1.41108,1.24408,0.98525,0.1549,0.47096,0.30997,1.44221,2.65499,1.62256,0.000579151,0.000579151,0.000579151
4,68.7165,1.07925,1.22377,1.21718,0.91301,0.33792,0.56515,0.37181,1.37971,2.19665,1.5825,0.000767342,0.000767342,0.000767342
5,79.7006,1.07803,1.18277,1.21237,0.65301,0.38336,0.50655,0.30835,1.51335,1.98476,1.85517,0.000873004,0.000873004,0.000873004
6,90.9077,1.06913,1.07034,1.1915,0.86219,0.38165,0.53431,0.28732,1.50517,1.89358,1.74953,0.000864004,0.000864004,0.000864004
7,101.16,1.04348,1.07124,1.16561,0.64419,0.37404,0.47736,0.27605,1.56431,1.99354,1.74605,0.000855005,0.000855005,0.000855005
8,111.796,1.03246,1.02004,1.16966,0.5941,0.65391,0.69268,0.4427,1.45975,1.77676,1.6999,0.000846006,0.000846006,0.000846006
9,123.08,0.97405,0.97836,1.14003,0.4448,0.60552,0.62887,0.36803,1.46322,1.56437,1.63454,0.000837007,0.000837007,0.000837007
10,134.089,1.00296,0.93415,1.13294,0.62818,0.53487,0.64126,0.41428,1.44753,1.63718,1.70226,0.000828008,0.000828008,0.000828008
11,144.596,0.91629,0.86033,1.1037,0.65964,0.71983,0.72634,0.48211,1.45419,1.55057,1.67897,0.000819009,0.000819009,0.000819009
12,156.309,0.91493,0.85315,1.08085,0.71714,0.72768,0.75627,0.47617,1.44419,1.60981,1.69452,0.00081001,0.00081001,0.00081001
13,167.209,0.92712,0.84304,1.08537,0.50728,0.76895,0.7245,0.44579,1.36943,1.67225,1.5107,0.000801011,0.000801011,0.000801011
14,178.246,0.95142,0.8486,1.08832,0.79652,0.47779,0.57608,0.36552,1.34107,2.12254,1.49959,0.000792012,0.000792012,0.000792012
15,189.413,0.96458,0.85252,1.09071,0.88339,0.66481,0.78969,0.50263,1.243,1.41999,1.38389,0.000783013,0.000783013,0.000783013
16,199.495,0.90305,0.80756,1.08685,0.63523,0.6912,0.70636,0.42547,1.45747,1.89722,1.61001,0.000774013,0.000774013,0.000774013
17,210.021,0.89447,0.785,1.06305,0.79475,0.4393,0.54964,0.33178,1.50101,2.09843,1.66558,0.000765014,0.000765014,0.000765014
18,220.88,0.87109,0.75088,1.0551,0.79299,0.66794,0.79114,0.51915,1.32965,1.28012,1.57387,0.000756015,0.000756015,0.000756015
19,232.064,0.89302,0.72095,1.05954,0.77503,0.74354,0.77038,0.47587,1.33383,1.33056,1.58574,0.000747016,0.000747016,0.000747016
20,242.384,0.86441,0.72476,1.05548,0.72366,0.75937,0.83591,0.52904,1.37109,1.37158,1.52774,0.000738017,0.000738017,0.000738017
21,253.412,0.87012,0.70379,1.03633,0.77094,0.77524,0.81058,0.50421,1.23314,1.13888,1.46017,0.000729018,0.000729018,0.000729018
22,263.786,0.84694,0.70035,1.0417,0.75056,0.77365,0.82345,0.54922,1.338,1.14995,1.50891,0.000720019,0.000720019,0.000720019
23,274.615,0.83223,0.69969,1.03605,0.75046,0.78796,0.80244,0.53948,1.32062,1.27705,1.50757,0.00071102,0.00071102,0.00071102
24,284.625,0.89231,0.7051,1.03885,0.81611,0.79555,0.82534,0.50857,1.24205,1.29424,1.53297,0.000702021,0.000702021,0.000702021
25,295.425,0.83922,0.67802,1.02448,0.79178,0.77762,0.83071,0.51921,1.22171,1.12338,1.41624,0.000693022,0.000693022,0.000693022
26,307.551,0.83374,0.64824,1.0245,0.90346,0.75613,0.82192,0.52572,1.23809,1.17373,1.44639,0.000684022,0.000684022,0.000684022
27,318.974,0.83641,0.6598,1.03302,0.86122,0.76751,0.83103,0.56524,1.21167,1.06675,1.4477,0.000675023,0.000675023,0.000675023
28,329.888,0.82819,0.65193,1.02138,0.79732,0.78749,0.8183,0.54555,1.20438,1.02261,1.42052,0.000666024,0.000666024,0.000666024
29,340.151,0.83993,0.64145,1.01307,0.81819,0.83194,0.87055,0.5835,1.19444,0.93828,1.43079,0.000657025,0.000657025,0.000657025
30,350.724,0.80798,0.62156,1.01767,0.79229,0.82996,0.85172,0.53734,1.24381,1.05152,1.43409,0.000648026,0.000648026,0.000648026
31,361.858,0.83394,0.61899,1.02794,0.84967,0.76679,0.80852,0.53823,1.27464,1.13971,1.47634,0.000639027,0.000639027,0.000639027
32,372.594,0.83199,0.62335,1.02,0.80005,0.82386,0.81531,0.56638,1.24406,1.17579,1.47537,0.000630028,0.000630028,0.000630028
33,382.467,0.83647,0.61447,1.00984,0.88255,0.75672,0.81233,0.51624,1.23229,1.14437,1.4686,0.000621029,0.000621029,0.000621029
34,393.569,0.80308,0.60717,1.01424,0.75337,0.82387,0.84789,0.5466,1.21551,1.07908,1.40941,0.00061203,0.00061203,0.00061203
